City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
Chilca,PE,1612489057,-12.5211,-76.7372,0,83,75.99,11.5
Kruisfontein,ZA,1612488515,-34.0033,24.7314,0,94,62.01,2.82
Šalčininkai,LT,1612489057,54.3,25.3833,90,86,17.6,3.44
Rundu,NA,1612489057,-17.9333,19.7667,99,67,69.8,3.53
Boddam,GB,1612488566,57.4667,-1.7833,90,93,37.4,20.71
Simbahan,PH,1612489058,6.3032,120.5836,100,80,82.02,15.05
Abdulino,RU,1612489058,53.7,53.6667,100,97,33.73,8.5
Yumen,CN,1612488556,40.2833,97.2,0,61,28.53,15.35
Koryazhma,RU,1612489058,61.3143,47.1691,94,95,7.39,5.32
Horadiz,AZ,1612489058,39.4488,47.3353,0,100,39.2,4.61
Aguining,PH,1612489058,10.0861,124.5944,62,79,81.32,7.56
Bosaso,SO,1612489059,11.2842,49.1816,0,72,69.33,3.47
Mossamedes,AO,1612488549,-15.1961,12.1522,0,71,71.06,6.02
Bethel,US,1612488444,41.3712,-73.414,1,80,30.0,1.57
Marakkanam,IN,1612489059,12.2,79.95,3,80,71.4,9.04
Chumikan,RU,1612489059,54.7183,135.315,24,80,-16.33,27.38
Chokwé,MZ,1612489059,-24.5333,32.9833,100,89,76.19,4.81
Santa Rosa,PH,1612489030,14.3122,121.1114,40,61,84.99,2.3
Goth Phulji,PK,1612489059,26.8825,67.6807,0,50,51.35,3.24
Ngunguru,NZ,1612489060,-35.6167,174.5,100,69,68.88,6.08
Sola,VU,1612489060,-13.8833,167.55,75,74,87.8,12.68
Oranjestad,AW,1612489046,12.524,-70.027,20,89,78.8,16.11
Paamiut,GL,1612488565,61.994,-49.6678,0,75,17.67,7.38
Ndélé,CF,1612489060,8.4109,20.6473,8,20,75.16,8.68
Rāhuri,IN,1612489060,19.3833,74.65,30,50,62.04,1.36
Padang,ID,1612489061,-0.9492,100.3543,20,83,80.6,1.14
